epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,646.361,0.99714,1.26483,1.1186,0.85328,0,0.60062,0.34879,0.3802,0.27579,0.59329,0.34161,0.36401,0.20709,0.99486,1.35356,1.18686,0.87387,0,0.000387678,0.000387678,0.000387678
29,668.618,0.99219,1.26327,1.09776,0.85689,0,0.56708,0.36687,0.38952,0.29271,0.5703,0.36468,0.37682,0.21748,0.9795,1.32923,1.18363,0.87815,0,0.000371185,0.000371185,0.000371185
30,690.912,0.98216,1.26408,1.08949,0.85455,0,0.60239,0.37531,0.39786,0.29393,0.59876,0.37207,0.38678,0.22652,0.99283,1.36845,1.18095,0.87598,0,0.000354691,0.000354691,0.000354691
31,713.213,0.97664,1.27135,1.08918,0.85336,0,0.59143,0.35519,0.38953,0.29188,0.60389,0.33688,0.37759,0.21653,0.96729,1.31312,1.17794,0.87156,0,0.000338198,0.000338198,0.000338198
32,735.517,0.96631,1.21922,1.06215,0.85339,0,0.61794,0.3563,0.40181,0.29681,0.60931,0.3438,0.38239,0.21788,0.97731,1.36269,1.19097,0.87167,0,0.000321705,0.000321705,0.000321705
33,757.787,0.95788,1.25497,1.04946,0.84652,0,0.53766,0.43182,0.38344,0.27836,0.52998,0.42219,0.36577,0.20815,0.96592,1.30763,1.14166,0.86715,0,0.000305211,0.000305211,0.000305211
34,780.092,0.9613,1.23498,1.03343,0.84561,0,0.64125,0.36065,0.38991,0.28938,0.63571,0.3543,0.37971,0.2116,0.97288,1.32801,1.18666,0.86538,0,0.000288718,0.000288718,0.000288718
35,802.39,0.95468,1.23975,1.02705,0.8492,0,0.62728,0.31899,0.39623,0.29866,0.64586,0.30933,0.38185,0.22635,0.96478,1.32147,1.18664,0.87151,0,0.000272224,0.000272224,0.000272224
36,824.677,0.94502,1.19905,1.0185,0.84361,0,0.56922,0.38345,0.414,0.31018,0.56314,0.37528,0.40259,0.23158,0.95906,1.32644,1.12167,0.86495,0,0.000255731,0.000255731,0.000255731
37,847.042,0.93103,1.23628,0.99841,0.8446,0,0.66008,0.31981,0.40546,0.29885,0.58975,0.35019,0.38793,0.22489,0.96724,1.32451,1.14263,0.86212,0,0.000239238,0.000239238,0.000239238
38,869.405,0.95348,1.23123,0.98949,0.84712,0,0.55534,0.38625,0.38759,0.28604,0.54833,0.3788,0.37367,0.21965,0.94619,1.32041,1.14092,0.86463,0,0.000222744,0.000222744,0.000222744
39,891.75,0.93036,1.18174,0.99088,0.8458,0,0.57034,0.40169,0.41874,0.31829,0.56453,0.39534,0.40715,0.23503,0.93526,1.29721,1.12577,0.8634,0,0.000206251,0.000206251,0.000206251
40,914.059,0.91456,1.22004,0.97348,0.83689,0,0.71622,0.30948,0.42122,0.31499,0.71347,0.30729,0.41317,0.24101,0.93629,1.27639,1.09381,0.86393,0,0.000189757,0.000189757,0.000189757
41,956.467,0.91293,1.17741,0.93919,0.84578,0,0.59372,0.3555,0.39145,0.28444,0.58926,0.34371,0.38429,0.21188,0.95939,1.3086,1.1615,0.86118,0,0.000173264,0.000173264,0.000173264
42,978.474,0.88938,1.13919,0.90381,0.84677,0,0.59504,0.42748,0.42761,0.31338,0.59056,0.42206,0.41964,0.2448,0.95985,1.30985,1.07966,0.86353,0,0.000156771,0.000156771,0.000156771
43,1000.4,0.87992,1.14453,0.88218,0.84136,0,0.63589,0.40524,0.44968,0.33222,0.63354,0.4033,0.44146,0.25222,0.93881,1.30558,1.04088,0.863,0,0.000140277,0.000140277,0.000140277
44,1022.38,0.87981,1.13071,0.87164,0.83823,0,0.55582,0.46505,0.42409,0.31488,0.54772,0.4507,0.41247,0.23877,0.95792,1.30709,1.11957,0.87188,0,0.000123784,0.000123784,0.000123784
45,1044.28,0.87291,1.1105,0.8646,0.84157,0,0.70952,0.33801,0.46794,0.35436,0.72762,0.33582,0.46073,0.28471,0.94321,1.3058,1.03648,0.8641,0,0.00010729,0.00010729,0.00010729
46,1066.2,0.87143,1.14048,0.85617,0.83702,0,0.59788,0.41809,0.4633,0.3487,0.58752,0.40845,0.44986,0.27183,0.94556,1.27259,1.04429,0.86854,0,9.0797e-05,9.0797e-05,9.0797e-05
47,1088.12,0.86355,1.10652,0.82917,0.8403,0,0.61086,0.37742,0.43279,0.32576,0.60816,0.37457,0.42404,0.25036,0.9223,1.26743,1.05891,0.86301,0,7.43036e-05,7.43036e-05,7.43036e-05
48,1110.02,0.86066,1.09229,0.81264,0.83721,0,0.67291,0.38258,0.45614,0.34106,0.67427,0.37885,0.45047,0.26661,0.92494,1.28354,1.03337,0.86204,0,5.78102e-05,5.78102e-05,5.78102e-05
49,1132.01,0.85552,1.11306,0.80533,0.83668,0,0.64919,0.39463,0.45254,0.33896,0.64864,0.38734,0.44413,0.26319,0.92055,1.27288,1.02005,0.86192,0,4.13168e-05,4.13168e-05,4.13168e-05
50,1153.97,0.84715,1.082,0.79326,0.83629,0,0.66551,0.38336,0.47962,0.36554,0.65581,0.37591,0.46535,0.28716,0.92244,1.27668,1.01072,0.86339,0,2.48234e-05,2.48234e-05,2.48234e-05
