epoch,step,critic_loss,gen_loss
1,1,2103.428955078125,0.785251796245575
1,2,12275.9619140625,-1.2480292320251465
1,3,541.640869140625,-2.7815093994140625
1,4,2041.0594482421875,-4.349072456359863
1,5,11770.541015625,-1.0601677894592285
1,6,444.51922607421875,-2.662336587905884
1,7,1383.62841796875,-0.9165555238723755
1,8,47.13216018676758,-1.102787733078003
1,9,28.75731658935547,0.3073294758796692
1,10,1031.74072265625,-1.6953792572021484
1,11,3029.0537109375,2.054769277572632
1,12,2300.191162109375,-0.17913782596588135
1,13,11.072439193725586,-0.691270649433136
1,14,213.04481506347656,-0.36953142285346985
1,15,1686.615478515625,0.8575559854507446
1,16,52.78651809692383,0.782959520816803
1,17,69.55531311035156,0.2374001145362854
1,18,71.9527587890625,0.23759080469608307
1,19,39.422119140625,-0.008404584601521492
1,20,13.320826530456543,0.6784422993659973
1,21,3758.759521484375,1.4376118183135986
1,22,82.96503448486328,0.885941207408905
1,23,15.478525161743164,0.6831684112548828
1,24,27.106172561645508,0.6363388299942017
1,25,167.603515625,0.8374451994895935
1,26,6.340185642242432,0.28588220477104187
1,27,123.66546630859375,1.0501275062561035
1,28,71.58729553222656,0.8662839531898499
1,29,33.389549255371094,0.878129243850708
1,30,19.399982452392578,2.0829806327819824
1,31,1477.244384765625,0.9157030582427979
1,32,18.958189010620117,-0.2013830840587616
1,33,11.757965087890625,0.48740309476852417
1,34,6.71745491027832,-0.47089147567749023
1,35,12.431761741638184,0.1269611418247223
1,36,167.07281494140625,0.7426642179489136
1,37,7.552962779998779,0.4086463153362274
1,38,41.70779800415039,0.1518542468547821
1,39,61.21770095825195,0.1049773097038269
1,40,6.048066139221191,0.45398980379104614
1,41,168.07644653320312,0.5311406850814819
1,42,364.0072937011719,1.0814168453216553
1,43,15.147603988647461,0.4914357662200928
1,44,47.495750427246094,0.4455762207508087
1,45,19.663206100463867,0.3449851870536804
1,46,7.3135986328125,0.2726413607597351
1,47,7.546855926513672,0.6240234375
1,48,144.2306671142578,2.180105209350586
1,49,15.953588485717773,1.2630116939544678
1,50,4.6772637367248535,0.4954047203063965
1,51,56.31516647338867,-1.0279226303100586
1,52,26.621110916137695,-0.02734343335032463
1,53,49.19355010986328,0.9546309113502502
1,54,79.94308471679688,0.1908559501171112
1,55,16.9210205078125,0.3566909730434418
1,56,11.615574836730957,0.10264021903276443
1,57,35.99948501586914,-0.029020370915532112
1,58,113.69171142578125,-0.11291547119617462
1,59,252.31202697753906,0.6411267518997192
1,60,9.504621505737305,-0.07136550545692444
1,61,32.35655975341797,-0.38703393936157227
1,62,50.15974807739258,0.32440853118896484
1,63,205.55520629882812,1.2374496459960938
1,64,6.505186557769775,-0.7898918390274048
1,65,42.47472381591797,-0.3185752034187317
1,66,53.234561920166016,0.9773213863372803
1,67,103.97230529785156,0.6642230749130249
1,68,26.762847900390625,0.11588633060455322
1,69,340.81536865234375,1.0141732692718506
1,70,9.49683666229248,-0.14483711123466492
1,71,7.809378623962402,0.18431347608566284
1,72,174.92190551757812,1.1409906148910522
1,73,4.614285469055176,0.1621294766664505
1,74,10.250187873840332,-0.3345035910606384
1,75,4.411853313446045,0.3421635031700134
1,76,33.289512634277344,-0.1199675053358078
1,77,328.42559814453125,0.44567471742630005
1,78,7.449733257293701,0.3124556243419647
1,79,56.422386169433594,-0.04302936792373657
1,80,12.191009521484375,0.3201976418495178
1,81,132.6408233642578,0.5934749841690063
1,82,17.80429458618164,0.5264642834663391
1,83,23.313276290893555,0.3862525224685669
1,84,20.831205368041992,0.4703885018825531
1,85,71.30767822265625,0.657066822052002
1,86,4.462419509887695,0.9065142869949341
1,87,14.745950698852539,0.2508701682090759
1,88,54.89583969116211,0.1845378577709198
1,89,1.9539600610733032,0.3165619969367981
1,90,19.798131942749023,-0.10678321123123169
1,91,21.95408058166504,1.0426372289657593
1,92,24.467212677001953,0.17412278056144714
1,93,27.005508422851562,0.10908514261245728
1,94,6.449192523956299,0.2753089368343353
1,95,27.99460792541504,0.12184039503335953
1,96,29.364776611328125,0.8790600299835205
1,97,2.0780160427093506,0.7105337381362915
1,98,10.350920677185059,-0.20662887394428253
1,99,10.551197052001953,1.4024157524108887
1,100,5.136651992797852,0.49088796973228455
1,101,0.5606768131256104,0.7374866604804993
1,102,48.41156768798828,-0.05364068225026131
1,103,36.319435119628906,-0.021302921697497368
1,104,44.30817794799805,0.013645492494106293
1,105,45.386898040771484,0.24639621376991272
1,106,31.450454711914062,-0.025729039683938026
1,107,27.236297607421875,-0.20033130049705505
1,108,25.94550323486328,0.9747319221496582
1,109,4.373733997344971,0.37501394748687744
1,110,38.07639694213867,0.12059290707111359
1,111,28.582168579101562,-0.17313086986541748
1,112,160.5605926513672,0.1209401860833168
1,113,45.80370330810547,-0.009432394057512283
1,114,5.112295150756836,-0.19077461957931519
1,115,0.9227958917617798,0.17268210649490356
1,116,0.8626231551170349,0.11405330896377563
1,117,41.768165588378906,-1.0662015676498413
